교재,레벨,구간,Chapter,영어,뜻,,
T-map,Basic,B1-B3,8,playable,연주에 적합한,,
T-map,Basic,B1-B3,8,poisonous,독(성)이 있는,,
T-map,Basic,B1-B3,8,population,인구,,
T-map,Basic,B1-B3,8,quality,질,,
T-map,Basic,B1-B3,8,recover,회복되다,,
T-map,Basic,B1-B3,8,refuse to,~하는 것을 거부하다,,
T-map,Basic,B1-B3,8,ruin,망치다,,
T-map,Basic,B1-B3,8,shrink,줄어들다,,
T-map,Basic,B1-B3,8,terrible,"형편없는, 끔찍한",,
T-map,Basic,B1-B3,8,trunk,(코끼리의) 코,,
T-map,Basic,B1-B3,8,underground,지하에,,
T-map,Basic,B1-B3,8,unexpected,예상하지 못한,,
T-map,Basic,B1-B3,8,various,다양한,,
T-map,Basic,B1-B3,9,A as well as B,B뿐만 아니라 A도,,
T-map,Basic,B1-B3,9,anxiety,불안감,,
T-map,Basic,B1-B3,9,be willing to,기꺼이 ~할 생각이 있다,,
T-map,Basic,B1-B3,9,bored,지루해하는,,
T-map,Basic,B1-B3,9,bow,나비 모양 (리본),,
T-map,Basic,B1-B3,9,breath,호흡,,
T-map,Basic,B1-B3,9,brilliant,훌륭한,,
T-map,Basic,B1-B3,9,challenging,도전적인,,
T-map,Basic,B1-B3,9,come up with,~을 생각해내다,,
T-map,Basic,B1-B3,9,concentration,집중력,,
T-map,Basic,B1-B3,9,creative,창의적인,,
T-map,Basic,B1-B3,9,disappear,사라지다,,
T-map,Basic,B1-B3,9,donate,"바치다, 기부하다",,
T-map,Basic,B1-B3,9,dull,따분한,,
T-map,Basic,B1-B3,9,entertainment,즐길 거리,,
T-map,Basic,B1-B3,9,focus on,~에 집중하다,,
T-map,Basic,B1-B3,9,get rid of,~을 없애다,,
T-map,Basic,B1-B3,9,go straight to,곧장 ~으로 가다,,
T-map,Basic,B1-B3,9,grade,성적,,
T-map,Basic,B1-B3,9,happiness,행복,,
T-map,Basic,B1-B3,9,hobby,취미,,
T-map,Basic,B1-B3,9,I think you should,네가 ~하는 게 좋을 것 같아,,
T-map,Basic,B1-B3,9,immediately,즉시,,
T-map,Basic,B1-B3,9,in exchange for,~의 대가로,,
T-map,Basic,B1-B3,9,instantly,즉시,,
T-map,Basic,B1-B3,9,Is there anything wrong?,무슨 문제가 있니?,,
T-map,Basic,B1-B3,9,lead A to B,A를 B로 이끌다,,
T-map,Basic,B1-B3,9,May I help you?,제가 도와드릴까요?,,
T-map,Basic,B1-B3,9,meaningful,의미 있는,,
T-map,Basic,B1-B3,9,meditation,명상,,
T-map,Basic,B1-B3,9,niece,여자 조카,,
T-map,Basic,B1-B3,9,original,원래의,,
T-map,Basic,B1-B3,9,overall,전반적인,,
T-map,Basic,B1-B3,9,pull out,~을 꺼내다,,
T-map,Basic,B1-B3,9,relax,편하게 하다,,
T-map,Basic,B1-B3,9,relaxed,편안한,,
T-map,Basic,B1-B3,9,sign up,등록하다,,
T-map,Basic,B1-B3,9,solution,해결책,,
T-map,Basic,B1-B3,9,stressed out,스트레스가 쌓인,,
T-map,Basic,B1-B3,9,What's the matter?,무슨 일이니?,,
T-map,Basic,B1-B3,10,balance,"균형, 평형",,
T-map,Basic,B1-B3,10,be determined to,~하기로 결심하다,,
T-map,Basic,B1-B3,10,brain-dead,뇌사 상태의,,
T-map,Basic,B1-B3,10,case,"(특정한 사람이나 일에 관련된) 사례, 경우",,
T-map,Basic,B1-B3,10,cell,세포,,
T-map,Basic,B1-B3,10,choice,선택(권),,
T-map,Basic,B1-B3,10,cure,낫게 하다,,
T-map,Basic,B1-B3,10,deadly,치명적인,,
T-map,Basic,B1-B3,10,depend on,"~에 달려 있다, ~에 의해 결정되다",,
T-map,Basic,B1-B3,10,digest,"소화하다, 소화시키다",,
T-map,Basic,B1-B3,10,disease,질병,,
T-map,Basic,B1-B3,10,Don't mention it.,천만에,,
T-map,Basic,B1-B3,10,flu,독감,,
T-map,Basic,B1-B3,10,go through,"겪다, 경험하다",,
T-map,Basic,B1-B3,10,harmless,무해한,,
T-map,Basic,B1-B3,10,heal,"치유하다, 치유되다",,
T-map,Basic,B1-B3,10,hide,숨기다,,
T-map,Basic,B1-B3,10,illness,병,,
T-map,Basic,B1-B3,10,I'm so nervous about,저는 ~에 대해 정말 걱정돼요,,
T-map,Basic,B1-B3,10,impossible,불가능한,,
T-map,Basic,B1-B3,10,increase,"증가시키다, 늘리다",,
T-map,Basic,B1-B3,10,infection,감염,,
T-map,Basic,B1-B3,10,invisible,"보이지 않는, 볼 수 없는",,
T-map,Basic,B1-B3,10,lack of,~의 부족,,
T-map,Basic,B1-B3,10,maintain,"유지하다, 지키다",,
T-map,Basic,B1-B3,10,microscope,현미경,,
T-map,Basic,B1-B3,10,no matter what,무엇이(무슨 일이) ~ 일지라도,,
T-map,Basic,B1-B3,10,operation,수술,,
T-map,Basic,B1-B3,10,perform,수행하다,,
T-map,Basic,B1-B3,10,population,"인구, 주민",,
T-map,Basic,B1-B3,10,pray,기도하다,,
T-map,Basic,B1-B3,10,recovery,(건강) 회복,,
T-map,Basic,B1-B3,10,restore,회복시키다,,
T-map,Basic,B1-B3,10,risky,위험한,,
T-map,Basic,B1-B3,10,several,몇몇의,,
T-map,Basic,B1-B3,10,surgery,수술,,
T-map,Basic,B1-B3,10,treat,"치료하다, 처치하다",,
T-map,Basic,B1-B3,10,unusual,특이한,,
T-map,Basic,B1-B3,10,well-being,"(건강과) 행복, 웰빙",,
T-map,Basic,B1-B3,10,without,~ 없이,,
T-map,Basic,B1-B3,11,add A to B,A를 B에 추가하다,,
T-map,Basic,B1-B3,11,beforehand,"사전에, 미리",,
T-map,Basic,B1-B3,11,by the end of,"~의 끝 무렵에, ~ 말에",,
T-map,Basic,B1-B3,11,campaign,"(사회, 정치적) 운동, 캠페인",,
T-map,Basic,B1-B3,11,carry around,~을 휴대하다,,
T-map,Basic,B1-B3,11,case,"사실, 경우",,
T-map,Basic,B1-B3,11,cause A to,A가 ~하게 하다,,
T-map,Basic,B1-B3,11,come up with,~을 생각해내다,,
T-map,Basic,B1-B3,11,convenience store,편의점,,
T-map,Basic,B1-B3,11,convenient,편리한,,
T-map,Basic,B1-B3,11,definitely,분명히,,
T-map,Basic,B1-B3,11,edible,먹을 수 있는,,
T-map,Basic,B1-B3,11,either,~도 (아니다),,
T-map,Basic,B1-B3,11,encourage A to,A가 ~하도록 장려하다,,
T-map,Basic,B1-B3,11,expect A to,A가 ~할 것으로 기대하다,,
T-map,Basic,B1-B3,11,I'm sorry to hear that.,참 안됐구나,,
T-map,Basic,B1-B3,11,ingredient,재료,,
T-map,Basic,B1-B3,11,interest,관심,,
T-map,Basic,B1-B3,11,lottery,복권 (추첨),,
T-map,Basic,B1-B3,11,movement,(조직적으로 벌이는) 운동,,
T-map,Basic,B1-B3,11,not always,항상 ~인 것은 아니다,,
T-map,Basic,B1-B3,11,pair,"쌍, 짝",,
T-map,Basic,B1-B3,11,pocket-size,주머니 크기의,,
T-map,Basic,B1-B3,11,population,인구,,
T-map,Basic,B1-B3,11,prepare,준비하다,,
T-map,Basic,B1-B3,11,prove,증명하다,,
T-map,Basic,B1-B3,11,publisher,출판사,,
T-map,Basic,B1-B3,11,put off,"(시간, 날짜를) 미루다",,
T-map,Basic,B1-B3,11,quite,상당히,,
T-map,Basic,B1-B3,11,recently,최근에,,
T-map,Basic,B1-B3,11,shockingly,놀랍게도,,
T-map,Basic,B1-B3,11,Singaporean,싱가포르 사람,,
T-map,Basic,B1-B3,11,spare,여분의,,
T-map,Basic,B1-B3,11,That's too bad.,그것 참 안됐다,,
T-map,Basic,B1-B3,11,topping,(음식 위에 올리는) 토핑,,
T-map,Basic,B1-B3,11,various,다양한,,
T-map,Basic,B1-B3,11,whenever,~할 때는 언제든지,,
T-map,Basic,B1-B3,11,Who's calling?,(전화 거신 분은) 누구세요?,,
T-map,Basic,B1-B3,11,Why don't you ~?,~하는 게 어때?,,
T-map,Basic,B1-B3,11,wildlife,야생 동물,,
T-map,Basic,B1-B3,12,apology,사과,,
T-map,Basic,B1-B3,12,as,~일 때,,
T-map,Basic,B1-B3,12,attend,다니다,,
T-map,Basic,B1-B3,12,author,작가,,
T-map,Basic,B1-B3,12,be afraid of,~을 두려워하다,,
T-map,Basic,B1-B3,12,be in trouble,"말썽을 피우다, 곤란에 처하다",,
T-map,Basic,B1-B3,12,be similar to,~와 비슷하다,,
T-map,Basic,B1-B3,12,blind,눈이 먼,,
T-map,Basic,B1-B3,12,blindness,"눈이 보이지 않음, 실명",,
T-map,Basic,B1-B3,12,break,"방학, 휴가",,
T-map,Basic,B1-B3,12,Can I take your order?,주문하시겠습니까?,,
T-map,Basic,B1-B3,12,challenge,도전,,
T-map,Basic,B1-B3,12,click,딸깍거리다,,
T-map,Basic,B1-B3,12,confidently,자신 있게,,
T-map,Basic,B1-B3,12,confirm,확정하다,,
T-map,Basic,B1-B3,12,crash,추락 (사고),,
T-map,Basic,B1-B3,12,definitely,"확실히, 분명히",,
T-map,Basic,B1-B3,12,echo,메아리,,
T-map,Basic,B1-B3,12,encouragement,격려,,
T-map,Basic,B1-B3,12,exhibition,전시회,,
T-map,Basic,B1-B3,12,explore,탐험하다,,
T-map,Basic,B1-B3,12,explorer,탐험가,,
T-map,Basic,B1-B3,12,extremely,"매우, 극도로",,
T-map,Basic,B1-B3,12,eyesight,시력,,
T-map,Basic,B1-B3,12,fighter pilot,전투기 조종사,,
T-map,Basic,B1-B3,12,in fact,실제로,,
T-map,Basic,B1-B3,12,nearby,가까이 있는,,
T-map,Basic,B1-B3,12,object,"사물, 물건",,
T-map,Basic,B1-B3,12,office job,사무직,,
T-map,Basic,B1-B3,12,probably,아마도,,
T-map,Basic,B1-B3,12,refuse,거부하다,,
T-map,Basic,B1-B3,12,rule,규칙,,
T-map,Basic,B1-B3,12,several,몇몇의,,
T-map,Basic,B1-B3,12,suggest,제안하다,,
T-map,Basic,B1-B3,12,tongue,혀,,
T-map,Basic,B1-B3,12,unique,독특한,,
T-map,Basic,B1-B3,12,What do you mean by ~?,~은 무슨 뜻이죠?,,
T-map,Basic,B1-B3,12,What is your favorite ~?,당신이 가장 좋아하는 ~은 뭔가요?,,
T-map,Basic,B1-B3,12,Where should we meet?,어디서 만날까?,,
T-map,Basic,B1-B3,12,youth,청소년,,
T-map,Basic,B4-B6,1,after a while,잠시 후,,
T-map,Basic,B4-B6,1,balanced,균형 잡힌,,
T-map,Basic,B4-B6,1,be similar to,~와 비슷하다,,
T-map,Basic,B4-B6,1,conductor,지휘자,,
T-map,Basic,B4-B6,1,confident,자신감 있는,,
T-map,Basic,B4-B6,1,edge,"가장자리, 끝",,
T-map,Basic,B4-B6,1,empty,비어 있는,,
T-map,Basic,B4-B6,1,essential,필수적인,,
T-map,Basic,B4-B6,1,facilities,"시설, 설비",,
T-map,Basic,B4-B6,1,function,"역할, 직무",,
T-map,Basic,B4-B6,1,give ~ a try,~을 한번 해보다,,
T-map,Basic,B4-B6,1,How come ~?,어째서 ~이니?,,
T-map,Basic,B4-B6,1,I can't believe it!,믿을 수가 없어!,,
T-map,Basic,B4-B6,1,influence,"(동)영향을 주다, 영향(명)",,
T-map,Basic,B4-B6,1,inspire,영감을 주다,,
T-map,Basic,B4-B6,1,instruction,지시(사항),,
T-map,Basic,B4-B6,1,length,길이,,
T-map,Basic,B4-B6,1,mark,"표시하다, 나타내다",,
T-map,Basic,B4-B6,1,metal,금속,,
T-map,Basic,B4-B6,1,moment,(정확한 시점을 나타내는) 순간,,
T-map,Basic,B4-B6,1,musical instrument,악기,,
T-map,Basic,B4-B6,1,musician,"연주자, 음악가",,
T-map,Basic,B4-B6,1,notice,"알아차리다, 인지하다",,
T-map,Basic,B4-B6,1,object,"물체, 물건",,
T-map,Basic,B4-B6,1,performance,"연주, 공연",,
T-map,Basic,B4-B6,1,play a role,역할을 하다,,
T-map,Basic,B4-B6,1,raw,익히지 않은,,
T-map,Basic,B4-B6,1,recently,최근에,,
T-map,Basic,B4-B6,1,rhythm,"리듬, 박자",,
T-map,Basic,B4-B6,1,score,악보,,
T-map,Basic,B4-B6,1,section,"부문, 구획",,
T-map,Basic,B4-B6,1,seem like,~처럼 보이다,,
T-map,Basic,B4-B6,1,separate,"개별적인, 별도의",,
T-map,Basic,B4-B6,1,tap,(가볍게 톡톡) 두드리다,,
T-map,Basic,B4-B6,1,tone,음(정),,
T-map,Basic,B4-B6,1,wave,"흔들다, 휘두르다",,
T-map,Basic,B4-B6,1,Well done!,잘했어!,,
T-map,Basic,B4-B6,1,What's your plan for ~?,~에 대한 네 계획이 뭐니?,,
T-map,Basic,B4-B6,1,whole,전체의,,
T-map,Basic,B4-B6,1,wonder,궁금(해)하다,,
T-map,Basic,B4-B6,2,aim,목표,,
T-map,Basic,B4-B6,2,art supplies,미술용품,,
T-map,Basic,B4-B6,2,at the age of,~의 나이에,,
T-map,Basic,B4-B6,2,bathe,목욕시키다,,
T-map,Basic,B4-B6,2,be full of,~으로 가득 차 있다,,
T-map,Basic,B4-B6,2,be told,듣다,,
T-map,Basic,B4-B6,2,belong to,~의 소유이다,,
T-map,Basic,B4-B6,2,cause,"목적, 대의명분",,
T-map,Basic,B4-B6,2,challenge,"어려움, 어려운 일",,
T-map,Basic,B4-B6,2,childhood,"아동기, 어린 시절",,
T-map,Basic,B4-B6,2,clothing bin,의류 수거함,,
T-map,Basic,B4-B6,2,container,"통, 컨테이너",,
T-map,Basic,B4-B6,2,cure,치료법,,
T-map,Basic,B4-B6,2,decide,결정하다,,
T-map,Basic,B4-B6,2,developing nation,개발도상국,,
T-map,Basic,B4-B6,2,disabled,장애를 가진,,
T-map,Basic,B4-B6,2,donate,기부하다,,
T-map,Basic,B4-B6,2,donation,기부,,
T-map,Basic,B4-B6,2,Don't forget to,~하는 것을 잊지 마,,
T-map,Basic,B4-B6,2,facility,"시설, 기관",,
T-map,Basic,B4-B6,2,garbage can,쓰레기통,,
T-map,Basic,B4-B6,2,give up,포기하다,,
T-map,Basic,B4-B6,2,Good for you!,잘했어!,,
T-map,Basic,B4-B6,2,I look forward to,나는 ~을 고대해,,
T-map,Basic,B4-B6,2,in need,어려움에 처한,,
T-map,Basic,B4-B6,2,individual,"개인의, 개개인의",,
T-map,Basic,B4-B6,2,million,100만,,
T-map,Basic,B4-B6,2,operate,운영하다,,
T-map,Basic,B4-B6,2,operation,수술,,
T-map,Basic,B4-B6,2,out of fashion,유행에 뒤떨어진,,
T-map,Basic,B4-B6,2,pass away,사망하다,,
T-map,Basic,B4-B6,2,property,"소유물, 재산",,
T-map,Basic,B4-B6,2,raise,모금하다,,
T-map,Basic,B4-B6,2,recover,회복하다,,
T-map,Basic,B4-B6,2,resource,자원,,
T-map,Basic,B4-B6,2,saying,"속담, 격언",,
T-map,Basic,B4-B6,2,shelter,"쉼터, 보호소",,
T-map,Basic,B4-B6,2,surgery,수술,,
T-map,Basic,B4-B6,2,surprise,놀라게 하다,,
T-map,Basic,B4-B6,2,You mean ~?,~을 말하는 거니?,,
T-map,Basic,B4-B6,3,add up,쌓이다,,
T-map,Basic,B4-B6,3,adopt,(자기의 것으로서) 받아들이다,,
T-map,Basic,B4-B6,3,appreciate,올바로 이해하다,,
T-map,Basic,B4-B6,3,article,"글, 기사",,
T-map,Basic,B4-B6,3,author,작가,,
T-map,Basic,B4-B6,3,be aware of,~을 알고 있다,,
T-map,Basic,B4-B6,3,before long,머지않아,,
T-map,Basic,B4-B6,3,benefit,이점,,
T-map,Basic,B4-B6,3,besides,게다가,,
T-map,Basic,B4-B6,3,cause,초래하다,,
T-map,Basic,B4-B6,3,certain,어떤,,
T-map,Basic,B4-B6,3,concern,걱정,,
T-map,Basic,B4-B6,3,cut down on,~을 줄이다,,
T-map,Basic,B4-B6,3,encounter,접하다,,
T-map,Basic,B4-B6,3,evil,사악한,,
T-map,Basic,B4-B6,3,fit A into B,A를 B에 끼워 넣다,,
T-map,Basic,B4-B6,3,gain,얻다,,
T-map,Basic,B4-B6,3,How about ~?,~은 어때?,,
T-map,Basic,B4-B6,3,How did you like ~?,~은 어땠어?,,
T-map,Basic,B4-B6,3,ideal,이상적인,,
T-map,Basic,B4-B6,3,identity,정체성,,
T-map,Basic,B4-B6,3,in one's opinion,~의 의견으로는,,
T-map,Basic,B4-B6,3,in use,사용되고 있는,,
T-map,Basic,B4-B6,3,instruct,가르치다,,
T-map,Basic,B4-B6,3,look for,~을 찾다,,
T-map,Basic,B4-B6,3,mention,언급하다,,
T-map,Basic,B4-B6,3,Not at all.,전혀 그렇지 않아,,
T-map,Basic,B4-B6,3,opportunity,기회,,
T-map,Basic,B4-B6,3,plenty of,많은,,
T-map,Basic,B4-B6,3,protect A from B,A를 B로부터 보호하다,,
T-map,Basic,B4-B6,3,realistic,현실적인,,
T-map,Basic,B4-B6,3,recommend,추천하다,,
T-map,Basic,B4-B6,3,remain,계속(여전히) ~이다,,
T-map,Basic,B4-B6,3,screen,상영하다,,
T-map,Basic,B4-B6,3,suggestion,제안,,
T-map,Basic,B4-B6,3,take advantage of,~을 이용하다,,
T-map,Basic,B4-B6,3,the key to,~의 비결,,
T-map,Basic,B4-B6,3,value,가치,,
T-map,Basic,B4-B6,3,various,다양한,,
T-map,Basic,B4-B6,3,Why the long face?,왜 우울한 얼굴을 하고 있니?,,
T-map,Basic,B4-B6,4,actively,"적극적으로, 활발히",,
T-map,Basic,B4-B6,4,advanced,상급의,,
T-map,Basic,B4-B6,4,affect,영향을 미치다,,
T-map,Basic,B4-B6,4,as well,"~도 역시, 또한",,
T-map,Basic,B4-B6,4,ask A for B,A에게 B를 요청하다,,
T-map,Basic,B4-B6,4,auditorium,강당,,
T-map,Basic,B4-B6,4,average,평균적인,,
T-map,Basic,B4-B6,4,be able to,~할 수 있다,,
T-map,Basic,B4-B6,4,be sure,확신하다,,
T-map,Basic,B4-B6,4,be used for,~을 위해 사용되다,,
T-map,Basic,B4-B6,4,directly,직접(적으로),,
T-map,Basic,B4-B6,4,Don't feel so bad.,너무 기분 나빠하지 마,,
T-map,Basic,B4-B6,4,Don't worry about it.,그것에 대해서는 걱정하지 마,,
T-map,Basic,B4-B6,4,get off work,퇴근하다,,
T-map,Basic,B4-B6,4,have no idea,전혀 모르다,,
T-map,Basic,B4-B6,4,lecture,(동)강의하다 (명)강의,,
T-map,Basic,B4-B6,4,mean,의미하다,,
T-map,Basic,B4-B6,4,meditation,명상,,
T-map,Basic,B4-B6,4,nearby,가까이(에),,
T-map,Basic,B4-B6,4,next to,~ 옆에,,
T-map,Basic,B4-B6,4,normally,보통,,
T-map,Basic,B4-B6,4,on the other hand,반면에,,
T-map,Basic,B4-B6,4,participate,참여하다,,
T-map,Basic,B4-B6,4,performance,"업무 효율, 성과",,
T-map,Basic,B4-B6,4,prefer,선호하다,,
T-map,Basic,B4-B6,4,process,과정,,
T-map,Basic,B4-B6,4,quality,양질의,,
T-map,Basic,B4-B6,4,rarely,거의 ~하지 않는,,
T-map,Basic,B4-B6,4,receive,받다,,
T-map,Basic,B4-B6,4,regret,후회하다,,
T-map,Basic,B4-B6,4,rude,무례한,,
T-map,Basic,B4-B6,4,semester,학기,,
T-map,Basic,B4-B6,4,similarly,그와 비슷하게,,
T-map,Basic,B4-B6,4,solve,풀다,,
T-map,Basic,B4-B6,4,subject matter,학습 주제,,
T-map,Basic,B4-B6,4,tend to,~하는 경향이 있다,,
T-map,Basic,B4-B6,4,That's incredible!,그거 굉장한데!,,
T-map,Basic,B4-B6,4,violent,폭력적인,,
T-map,Basic,B4-B6,4,work environment,근무 환경,,
T-map,Basic,B4-B6,4,You must not,당신은 ~해서는 안 됩니다,,
T-map,Basic,B4-B6,5,accidentally,실수로,,
T-map,Basic,B4-B6,5,additional,또 하나의,,
T-map,Basic,B4-B6,5,alien,외계의,,
T-map,Basic,B4-B6,5,amazing,놀라운,,
T-map,Basic,B4-B6,5,Anything else?,그 외에 다른 건요?,,
T-map,Basic,B4-B6,5,around,~쯤,,
T-map,Basic,B4-B6,5,be around,부근에 있다,,
T-map,Basic,B4-B6,5,billions of,수십억의,,
T-map,Basic,B4-B6,5,century,100년,,
T-map,Basic,B4-B6,5,chance,가능성,,
T-map,Basic,B4-B6,5,circle,"선회하다, 돌다",,
T-map,Basic,B4-B6,5,discover,발견하다,,
T-map,Basic,B4-B6,5,discovery,발견하다,,
T-map,Basic,B4-B6,5,evidence,증거,,
T-map,Basic,B4-B6,5,exist,존재하다,,
T-map,Basic,B4-B6,5,existing,현존하는,,
T-map,Basic,B4-B6,5,for long,오랫동안,,
T-map,Basic,B4-B6,5,galaxy,은하(계),,
T-map,Basic,B4-B6,5,get a look at,~을 보다,,
T-map,Basic,B4-B6,5,gone,사라진,,
T-map,Basic,B4-B6,5,gravity,중력,,
T-map,Basic,B4-B6,5,hundreds of,수백의,,
T-map,Basic,B4-B6,5,in detail,자세히,,
T-map,Basic,B4-B6,5,Is something bothering you?,고민 있어?,,
T-map,Basic,B4-B6,5,Let's,~하자,,
T-map,Basic,B4-B6,5,life,생명체,,
T-map,Basic,B4-B6,5,nephew,남자 조카,,
T-map,Basic,B4-B6,5,newly,"새로, 최근에",,
T-map,Basic,B4-B6,5,orbit,(~ 주위의) 궤도를 돌다,,
T-map,Basic,B4-B6,5,out there,그곳에(서),,
T-map,Basic,B4-B6,5,overall,전반적인,,
T-map,Basic,B4-B6,5,planet,행성,,
T-map,Basic,B4-B6,5,pull in,~을 끌어당기다,,
T-map,Basic,B4-B6,5,satellite,(인공)위성,,
T-map,Basic,B4-B6,5,serve as,~의 역할을 하다,,
T-map,Basic,B4-B6,5,stay,머무르다,,
T-map,Basic,B4-B6,5,telescope,망원경,,
T-map,Basic,B4-B6,5,temperature,온도,,
T-map,Basic,B4-B6,5,view,"보다, 관측하다",,
T-map,Basic,B4-B6,5,You saved my life.,네가 날 살렸어,,
T-map,Basic,B4-B6,6,a large amount of,많은 양의,,
T-map,Basic,B4-B6,6,against,~에 맞서,,
T-map,Basic,B4-B6,6,because of,~ 때문에,,
T-map,Basic,B4-B6,6,brain,뇌,,
T-map,Basic,B4-B6,6,brave,용감한,,
T-map,Basic,B4-B6,6,compared to,~에 비해,,
T-map,Basic,B4-B6,6,complex,복잡한,,
T-map,Basic,B4-B6,6,develop,발달하다,,
T-map,Basic,B4-B6,6,diet,식단,,
T-map,Basic,B4-B6,6,difficulty,어려움,,
T-map,Basic,B4-B6,6,digest,소화되다,,
T-map,Basic,B4-B6,6,Do you have any plans for ~?,~에 무슨 계획 있니?,,
T-map,Basic,B4-B6,6,Do you want ~?,~을 원하니?,,
T-map,Basic,B4-B6,6,either A or B,A나 B (둘 중 하나),,
T-map,Basic,B4-B6,6,experiment,실험,,
T-map,Basic,B4-B6,6,feed,먹이를 주다,,
T-map,Basic,B4-B6,6,get used to,~에 익숙해지다,,
T-map,Basic,B4-B6,6,grab,(움켜)잡다,,
T-map,Basic,B4-B6,6,if,~인지 (아닌지),,
T-map,Basic,B4-B6,6,I'm worried about,나는 ~이 걱정돼,,
T-map,Basic,B4-B6,6,interestingly,흥미롭게도,,
T-map,Basic,B4-B6,6,manage,"관리하다, 다루다",,
T-map,Basic,B4-B6,6,mean,"사나운, 심술궂은",,
T-map,Basic,B4-B6,6,on the other side,다른 쪽에,,
T-map,Basic,B4-B6,6,original,원래의,,
T-map,Basic,B4-B6,6,personality,성격,,
T-map,Basic,B4-B6,6,pet,반려동물,,
T-map,Basic,B4-B6,6,promote,홍보하다,,
T-map,Basic,B4-B6,6,properly,제대로,,
T-map,Basic,B4-B6,6,relationship,관계,,
T-map,Basic,B4-B6,6,release,개봉하다,,
T-map,Basic,B4-B6,6,require,요구하다,,
T-map,Basic,B4-B6,6,shy,겁이 많은,,
T-map,Basic,B4-B6,6,social,사회적인,,
T-map,Basic,B4-B6,6,society,"사회, 집단",,
T-map,Basic,B4-B6,6,survive,생존하다,,
T-map,Basic,B4-B6,6,vomit,토하다,,
T-map,Basic,B4-B6,6,while,~인 반면에,,
T-map,Basic,B4-B6,6,Why don't you ~?,~하는 게 어때?,,
T-map,Basic,B4-B6,6,wonder,궁금(해)하다,,
T-map,Basic,B4-B6,7,affect,영향을 주다,,
T-map,Basic,B4-B6,7,appreciate,"(문학 등을) 이해하다, 감상하다",,
T-map,Basic,B4-B6,7,Can I get your advice on ~?,~에 대한 조언을 얻을 수 있을까요?,,
T-map,Basic,B4-B6,7,capture,포착하다,,
T-map,Basic,B4-B6,7,climate,기후,,
T-map,Basic,B4-B6,7,common,흔한,,
T-map,Basic,B4-B6,7,courage,용기,,
T-map,Basic,B4-B6,7,determination,"(굳은) 의지, 결의",,
T-map,Basic,B4-B6,7,drop,"줄다, 떨어지다",,
T-map,Basic,B4-B6,7,exist,존재하다,,
T-map,Basic,B4-B6,7,face,직면하다,,
T-map,Basic,B4-B6,7,habitat,서식지,,
T-map,Basic,B4-B6,7,incredible,"놀라운, 굉장한",,
T-map,Basic,B4-B6,7,inspire,영감을 주다,,
T-map,Basic,B4-B6,7,national,국가의,,
T-map,Basic,B4-B6,7,no longer,더 이상 ~하지 않는,,
T-map,Basic,B4-B6,7,owl,부엉이,,
T-map,Basic,B4-B6,7,passion,열정,,
T-map,Basic,B4-B6,7,photographer,사진작가,,
T-map,Basic,B4-B6,7,plant,"(나무, 씨앗 등을) 심다",,
T-map,Basic,B4-B6,7,population,인구,,
T-map,Basic,B4-B6,7,practically,사실상,,
T-map,Basic,B4-B6,7,prevent A from ~ing,A가 ~하는 것을 막다,,
T-map,Basic,B4-B6,7,remote,(거리가) 먼,,
T-map,Basic,B4-B6,7,removal,제거,,
T-map,Basic,B4-B6,7,respect,높이 평가하다,,
T-map,Basic,B4-B6,7,risk one's life,목숨을 걸다,,
T-map,Basic,B4-B6,7,scratch,할퀴다,,
T-map,Basic,B4-B6,7,speed limit,제한 속도,,
T-map,Basic,B4-B6,7,stay,(계속 그대로) 있다,,
T-map,Basic,B4-B6,7,strike A in the face,A의 얼굴을 치다,,
T-map,Basic,B4-B6,7,switch,바꾸다,,
T-map,Basic,B4-B6,7,symbol,상징,,
T-map,Basic,B4-B6,7,take a shot,사진을 찍다,,
T-map,Basic,B4-B6,7,thanks to,~덕분에,,
T-map,Basic,B4-B6,7,That works for me.,저는 괜찮습니다,,
T-map,Basic,B4-B6,7,That's fine with me.,나는 괜찮아,,
T-map,Basic,B4-B6,7,to one's taste,~의 취향에 맞게,,
T-map,Basic,B4-B6,7,underwater,"(부) 물속에서, (형)수중의",,
T-map,Basic,B4-B6,7,Where have you been?,너 어디에 있었어?,,
T-map,Basic,B4-B6,8,address,(문제를) 처리하다,,
T-map,Basic,B4-B6,8,advantage,이점,,
T-map,Basic,B4-B6,8,anxiety,걱정,,
T-map,Basic,B4-B6,8,approach,접근법,,
T-map,Basic,B4-B6,8,be made of,~으로 만들어지다,,
T-map,Basic,B4-B6,8,beat,"이기다, 이겨내다",,
T-map,Basic,B4-B6,8,challenge,"난제, 도전",,
T-map,Basic,B4-B6,8,collect,수집하다,,
T-map,Basic,B4-B6,8,container,"통, 용기",,
T-map,Basic,B4-B6,8,damage,훼손하다,,
T-map,Basic,B4-B6,8,data,자료,,
T-map,Basic,B4-B6,8,deliver,전달(배달)하다,,
T-map,Basic,B4-B6,8,despite,~에도 불구하고,,
T-map,Basic,B4-B6,8,developing country,개발도상국,,
T-map,Basic,B4-B6,8,drinking water,식수,,
T-map,Basic,B4-B6,8,Forget about it.,잊어버려,,
T-map,Basic,B4-B6,8,I don't know why.,왜 그런지 모르겠어,,
T-map,Basic,B4-B6,8,injury,부상,,
T-map,Basic,B4-B6,8,lift,들어 올리다,,
T-map,Basic,B4-B6,8,medical,의학의,,
T-map,Basic,B4-B6,8,overcome,극복하다,,
